index,album,entity_album,singer,identity,digit_date,price2,price,song_number,sales_volumn,total-sale,digit_album_img,entity_album_date,diff,entity-platform,entity_price,entity_type,entity_img,entity_thing,singer-img
36,解梦,解梦,SING女团,组合,2019/8/10,5.0,5.0,3,135816,679080.0,https://y.qq.com/music/photo_new/T002R300x300M000001p8LS32GuATl_1.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000002oNvvt1EjQYK_12.jpg?max_age=2592000
37,The Shadows,The Shadows,SNH48_7SENSES,组合,2020/7/29,9.0,9.0,10,75789,686408.0,https://y.qq.com/music/photo_new/T002R300x300M000003Iraym0QjCyw_3.jpg?max_age=2592000,2020/8/20,22.0,,78.0,CD,https://y.qq.com/music/photo_new/T002R300x300M000003Iraym0QjCyw_3.jpg?max_age=2592000,,https://p1.music.126.net/TcWTbeeQ7KheCJ2jkDVZmg==/109951163066801336.jpg
38,盛装 (Black Out),盛装 (Black Out),SNH48段艺璇,组合成员,2022/5/19,3.0,3.0,1,18856,56568.0,https://p2.music.126.net/p-MmAld2hdTzncgdkXxH1g==/109951167430790158.jpg?param=140y140,,,,,,,,https://p2.music.126.net/QxDeCfNL4F84nTAu9ietvg==/109951165300340609.jpg
39,如果有你在,如果有你在,SNH48林思意,组合成员,2021/12/4,3.0,3.0,1,3038,9114.0,https://p2.music.126.net/JAgFw9jn6jIbwhian960QQ==/109951166677136110.jpg?param=140y140,,,,,,,,https://p1.music.126.net/-UFVUipFKlrT-TWR735x7Q==/109951166681236601.jpg
40,天空信,天空信,SNH48陆婷,组合成员,2021/9/25,3.0,3.0,1,3721,11163.0,https://y.qq.com/music/photo_new/T002R300x300M000004OsajF4OEr0j_1.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000000wLOHr3SrgkB_2.jpg?max_age=2592000
41,Whisper (耳语者),Whisper (耳语者),SNH48沈梦瑶,组合成员,2022/5/5,3.0,3.0,1,44938,134814.0,https://y.qq.com/music/photo_new/T002R300x300M000002zJqfW492V9n_1.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000002QmCrq0to1em_2.jpg?max_age=2592000
42,My Way (偏执),My Way (偏执),SNH48宋昕冉,组合成员,2022/5/13,3.0,3.0,1,12364,37092.0,https://y.qq.com/music/photo_new/T002R300x300M000003eOa9A0nDSpV_1.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000003BqGtb0B8UFp_5.jpg?max_age=2592000
43,Make it better,Make it better,SNH48许杨玉琢,组合成员,2022/1/9,3.0,3.0,1,12224,36672.0,https://y.qq.com/music/photo_new/T002R300x300M0000038jb1B2hsPUu_1.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M0000032W2IE3hNnuY_4.jpg?max_age=2592000
44,Super Duper,Super Duper,SNH48杨冰怡,组合成员,2022/5/26,3.0,3.0,1,13430,40290.0,https://y.qq.com/music/photo_new/T002R300x300M000003vHSqK0m7ivt_1.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000003mixSu2kt1ve_3.jpg?max_age=2592000
45,水蒸气 (Paradise),水蒸气 (Paradise),SNH48袁一琦,组合成员,2022/4/28,3.0,3.0,1,64946,194838.0,https://y.qq.com/music/photo_new/T002R300x300M000004OeKW03sH019_1.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000003x5Wcd1Y1lWt_3.jpg?max_age=2592000
