album,singer,identity,digit-date,price,song-number,total-volumn,total-sale,QQ音乐（张）,QQ音乐（元）,网易云音乐（张）,网易云音乐（元）,酷狗音乐（张）,酷狗音乐（元）,酷我音乐（张）,酷我音乐（元）,咪咕音乐（张）,咪咕音乐（元）,digit-img,entity-date,diff,entity-platform,entity-price,entity-form,实体价格2,形式2,entity-img,实体封面2,entity-thing,微博,singer-img,歌手图片2
秘ME,Sunnee杨芸晴,大陆歌手,2021/9/24,20,10,135505,2710100,129799,2595980,1061,21220,705,14100,139,2780,3801,76020,https://y.qq.com/music/photo_new/T002R300x300M000000mVNZC3Phyme_2.jpg?max_age=2592000,2022/4/26,214,京东,198,CD,,,https://img14.360buyimg.com/n1/s546x546_jfs/t1/215219/12/16975/299025/6255386dE2ffe06bb/43761681f0f44dff.jpg.avif,,铁盒/海报/贴纸/钥匙/歌词本/笔记本,https://weibo.com/2075787695/LqcqPlmfl,https://y.qq.com/music/photo_new/T001R300x300M000000qXspR1AJJCE_9.jpg?max_age=2592000,
计划外惊喜,Sunnee杨芸晴,大陆歌手,2022/12/23,20,10,15125,302500,13861,277220,946,18920,281,5620,22,440,15,300,https://y.qq.com/music/photo_new/T002R300x300M000000tltXf3K8son_2.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000000qXspR1AJJCE_9.jpg?max_age=2592000,
斯芬克斯X谜,THE9,组合,2020/8/10,5,2,1118809,5594045,1002455,5012275,0,0,100089,500445,12821,64105,3444,17220,https://y.qq.com/music/photo_new/T002R300x300M000001sdPsL0DFh46_1.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000000ehihK43NbqU_2.jpg?max_age=2592000,
虚实X境,THE9,组合,2020/12/25,18,10,367130,6608340,307106,5527908,0,0,52155,938790,6785,122130,1084,19512,https://y.qq.com/music/photo_new/T002R300x300M000004QLBBc1Af3VO_2.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000000ehihK43NbqU_2.jpg?max_age=2592000,
RefleXtion,THE9,组合,2021/5/22,5,2,210433,1052165,179271,896355,0,0,28469,142345,2217,11085,476,2380,https://y.qq.com/music/photo_new/T002R300x300M000004Ksffs2PY9wN_2.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000000ehihK43NbqU_2.jpg?max_age=2592000,
THE NINE,THE9,组合,2021/12/5,9,3,91329,821961,77065,693585,0,0,13501,121509,763,6867,0,0,https://y.qq.com/music/photo_new/T002R300x300M000001LUbz22zoBvw_1.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000000ehihK43NbqU_2.jpg?max_age=2592000,
EPSILON,THE9-刘雨昕,大陆歌手,2021/4/20,8,3,5884210,47073680,5831709,46653672,0,0,23662,189296,27565,220520,1274,10192,https://y.qq.com/music/photo_new/T002R300x300M000000IKFDJ4BIN1u_2.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000001uGW6E0C9wva_22.jpg?max_age=2592000,
UNUSUAL,UNINE,组合,2019/10/21,9,3,1251513,11263617,1228879,11059911,0,0,19373,174357,1776,15984,1485,13365,https://y.qq.com/music/photo_new/T002R300x300M0000008jbEA4ePxVf_4.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000003KPeeO4I0kVA_3.jpg?max_age=2592000,
UNLOCK,UNINE,组合,2019/5/6,9,3,777823,7000407,701393,6312537,0,0,47240,425160,7160,64440,22030,198270,https://y.qq.com/music/photo_new/T002R300x300M0000040MnqD3iJQUW_1.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000003KPeeO4I0kVA_3.jpg?max_age=2592000,
摇啊摇,UNINE,组合,2020/1/18,3,1,180791,542373,155969,467907,0,0,21151,63453,2286,6858,1385,4155,https://y.qq.com/music/photo_new/T002R300x300M000004PG0AI0oRGIP_2.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000003KPeeO4I0kVA_3.jpg?max_age=2592000,
